184.105.247.194 - - [14/Aug/2018:00:09:57 +0000] "GET / HTTP/1.1" 200 11250
201.150.149.40 - - [14/Aug/2018:00:12:05 +0000] "GET / HTTP/1.1" 200 11250
196.52.43.106 - - [14/Aug/2018:00:51:38 +0000] "GET / HTTP/1.1" 200 11250
202.69.49.34 - - [14/Aug/2018:01:09:48 +0000] "GET / HTTP/1.1" 200 11250
78.108.177.50 - - [14/Aug/2018:01:57:36 +0000] "GET / HTTP/1.0" 200 11230
200.196.44.25 - - [14/Aug/2018:02:24:12 +0000] "GET / HTTP/1.1" 200 11250
122.228.10.51 - - [14/Aug/2018:02:43:48 +0000] "GET / HTTP/1.1" 200 11250
46.174.191.32 - - [14/Aug/2018:03:09:42 +0000] "GET / HTTP/1.0" 200 11230
178.189.174.145 - - [14/Aug/2018:03:29:03 +0000] "GET / HTTP/1.1" 200 11250
157.44.148.224 - - [14/Aug/2018:03:44:24 +0000] "GET / HTTP/1.1" 200 11250
157.44.148.224 - - [14/Aug/2018:03:44:24 +0000] "GET /tomcat.css HTTP/1.1" 200 5581
157.44.148.224 - - [14/Aug/2018:03:44:24 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
157.44.148.224 - - [14/Aug/2018:03:44:25 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
157.44.148.224 - - [14/Aug/2018:03:44:25 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
157.44.148.224 - - [14/Aug/2018:03:44:25 +0000] "GET /bg-button.png HTTP/1.1" 200 713
157.44.148.224 - - [14/Aug/2018:03:44:25 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
157.44.148.224 - - [14/Aug/2018:03:44:25 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
157.44.148.224 - - [14/Aug/2018:03:44:26 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
157.44.148.224 - - [14/Aug/2018:03:44:27 +0000] "GET /manager/html HTTP/1.1" 401 2473
157.44.148.224 - tomcat [14/Aug/2018:03:44:40 +0000] "GET /manager/html HTTP/1.1" 200 22730
157.44.148.224 - - [14/Aug/2018:03:44:41 +0000] "GET /manager/images/tomcat.gif HTTP/1.1" 200 2066
157.44.148.224 - - [14/Aug/2018:03:44:41 +0000] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20486
157.44.148.224 - - [14/Aug/2018:03:44:51 +0000] "GET /jenkins/ HTTP/1.1" 403 713
157.44.148.224 - - [14/Aug/2018:03:44:51 +0000] "GET /jenkins/login?from=%2Fjenkins%2F HTTP/1.1" 200 1510
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/css/simple-page.theme.css HTTP/1.1" 200 1021
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/css/simple-page-forms.css HTTP/1.1" 200 568
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/css/simple-page.css HTTP/1.1" 200 1327
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/css/color.css HTTP/1.1" 200 763
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/css/layout-common.css HTTP/1.1" 200 1266
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/css/style.css HTTP/1.1" 200 9455
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/css/responsive-grid.css HTTP/1.1" 200 4051
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/scripts/yui/container/assets/container.css HTTP/1.1" 200 2306
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 200 16551
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 200 1277
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 200 810
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 200 1301
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/jsbundles/pluginSetupWizard.css HTTP/1.1" 200 3881
157.44.148.224 - - [14/Aug/2018:03:44:52 +0000] "GET /jenkins/static/2e481869/scripts/prototype.js HTTP/1.1" 200 37879
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/behavior.js HTTP/1.1" 200 2360
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/adjuncts/2e481869/org/kohsuke/stapler/bind.js HTTP/1.1" 200 936
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/dom/dom-min.js HTTP/1.1" 200 5739
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 200 3038
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/event/event-min.js HTTP/1.1" 200 5146
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/animation/animation-min.js HTTP/1.1" 200 4877
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 200 6974
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/container/container-min.js HTTP/1.1" 200 19888
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/connection/connection-min.js HTTP/1.1" 200 4442
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/datasource/datasource-min.js HTTP/1.1" 200 8248
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 200 7254
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/menu/menu-min.js HTTP/1.1" 200 15901
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/element/element-min.js HTTP/1.1" 200 2698
157.44.148.224 - - [14/Aug/2018:03:44:53 +0000] "GET /jenkins/static/2e481869/scripts/yui/button/button-min.js HTTP/1.1" 200 8305
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/scripts/yui/storage/storage-min.js HTTP/1.1" 200 4048
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/scripts/hudson-behavior.js HTTP/1.1" 200 28889
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/scripts/sortable.js HTTP/1.1" 200 4284
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/jsbundles/page-init.js HTTP/1.1" 200 9291
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 200 39262
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /gitbucket/ HTTP/1.1" 200 8125
157.44.148.224 - - [14/Aug/2018:03:44:54 +0000] "GET /jenkins/static/2e481869/jsbundles/pluginSetupWizard.js HTTP/1.1" 200 69563
157.44.148.224 - - [14/Aug/2018:03:44:55 +0000] "GET /gitbucket/assets/vendors/bootstrap-3.3.7/css/bootstrap.min.css?20180813180451 HTTP/1.1" 200 121200
157.44.148.224 - - [14/Aug/2018:03:44:55 +0000] "GET /gitbucket/assets/vendors/google-fonts/css/source-sans-pro.css?20180813180451 HTTP/1.1" 200 2710
157.44.148.224 - - [14/Aug/2018:03:44:55 +0000] "GET /gitbucket/assets/vendors/octicons-4.4.0/octicons.min.css?20180813180451 HTTP/1.1" 200 7912
157.44.148.224 - - [14/Aug/2018:03:44:55 +0000] "GET /gitbucket/assets/vendors/bootstrap-datetimepicker-4.17.44/css/bootstrap-datetimepicker.min.css?20180813180451 HTTP/1.1" 200 7771
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/colorpicker/css/bootstrap-colorpicker.min.css?20180813180451 HTTP/1.1" 200 13084
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/facebox/facebox.css?20180813180451 HTTP/1.1" 200 1312
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/google-code-prettify/prettify.css?20180813180451 HTTP/1.1" 200 675
157.44.148.224 - - [14/Aug/2018:03:44:56 +0000] "GET /gitbucket/assets/vendors/AdminLTE-2.4.2/css/AdminLTE.min.css?20180813180451 HTTP/1.1" 200 106344
